
R1	R
70.600000	0.489283
70.700000	0.489285
70.800000	0.489288
70.900000	0.489290
71.000000	0.489293
71.100000	0.489295
71.200000	0.489298
71.300000	0.489300
71.400000	0.489303
71.500000	0.489305
71.600000	0.489308
71.700000	0.489310
71.800000	0.489312
71.900000	0.489315
72.000000	0.489317
72.100000	0.489320
72.200000	0.489322
72.300000	0.489324
72.400000	0.489327
72.500000	0.489329
72.600000	0.489332
72.700000	0.489334
72.800000	0.489336
72.900000	0.489339
73.000000	0.489341
73.100000	0.489343
73.200000	0.489346
73.300000	0.489348
73.400000	0.489350
73.500000	0.489353
73.600000	0.489355
73.700000	0.489357
73.800000	0.489360
73.900000	0.489362
74.000000	0.489364
74.100000	0.489367
74.200000	0.489369
74.300000	0.489371
74.400000	0.489373
74.500000	0.489376
74.600000	0.489378
74.700000	0.489380
74.800000	0.489382
74.900000	0.489385
75.000000	0.489387
75.100000	0.489389
75.200000	0.489391
75.300000	0.489393
75.400000	0.489396
75.500000	0.489398
75.600000	0.489400
75.700000	0.489402
75.800000	0.489404
75.900000	0.489407
76.000000	0.489409
76.100000	0.489411
76.200000	0.489413
76.300000	0.489415
76.400000	0.489417
76.500000	0.489420
76.600000	0.489422
76.700000	0.489424
76.800000	0.489426
76.900000	0.489428
77.000000	0.489430
77.100000	0.489432
77.200000	0.489434
77.300000	0.489436
77.400000	0.489439
77.500000	0.489441
77.600000	0.489443
77.700000	0.489445
77.800000	0.489447
77.900000	0.489449
78.000000	0.489451
78.100000	0.489453
78.200000	0.489455
78.300000	0.489457
78.400000	0.489459
78.500000	0.489461
78.600000	0.489463
78.700000	0.489465
78.800000	0.489467
78.900000	0.489469
79.000000	0.489471
79.100000	0.489473
79.200000	0.489475
79.300000	0.489477
79.400000	0.489479
79.500000	0.489481
79.600000	0.489483
79.700000	0.489485
79.800000	0.489487
79.900000	0.489489
80.000000	0.489491
80.100000	0.489493
80.200000	0.489495
80.300000	0.489497
80.400000	0.489499
80.500000	0.489501
80.600000	0.489503
80.700000	0.489505
80.800000	0.489507
80.900000	0.489509
81.000000	0.489510
81.100000	0.489512
81.200000	0.489514
81.300000	0.489516
81.400000	0.489518
81.500000	0.489520
81.600000	0.489522
81.700000	0.489524
81.800000	0.489526
81.900000	0.489527
82.000000	0.489529
82.100000	0.489531
82.200000	0.489533
82.300000	0.489535
82.400000	0.489537
82.500000	0.489539
82.600000	0.489540
82.700000	0.489542
82.800000	0.489544
82.900000	0.489546
83.000000	0.489548
83.100000	0.489550
83.200000	0.489551
83.300000	0.489553
83.400000	0.489555
83.500000	0.489557
83.600000	0.489559
83.700000	0.489560
83.800000	0.489562
83.900000	0.489564
84.000000	0.489566
84.100000	0.489568
84.200000	0.489569
84.300000	0.489571
84.400000	0.489573
84.500000	0.489575
84.600000	0.489576
84.700000	0.489578
84.800000	0.489580
84.900000	0.489582
85.000000	0.489583
85.100000	0.489585
85.200000	0.489587
85.300000	0.489589
85.400000	0.489590
85.500000	0.489592
85.600000	0.489594
85.700000	0.489595
85.800000	0.489597
85.900000	0.489599
86.000000	0.489600
86.100000	0.489602
86.200000	0.489604
86.300000	0.489606
86.400000	0.489607
86.500000	0.489609
86.600000	0.489611
86.700000	0.489612
86.800000	0.489614
86.900000	0.489616
87.000000	0.489617
87.100000	0.489619
87.200000	0.489621
87.300000	0.489622
87.400000	0.489624
87.500000	0.489626
87.600000	0.489627
87.700000	0.489629
87.800000	0.489630
87.900000	0.489632
88.000000	0.489634
88.100000	0.489635
88.200000	0.489637
88.300000	0.489639
88.400000	0.489640
88.500000	0.489642
88.600000	0.489643
88.700000	0.489645
88.800000	0.489647
88.900000	0.489648
89.000000	0.489650
89.100000	0.489651
89.200000	0.489653
89.300000	0.489654
89.400000	0.489656
89.500000	0.489658
89.600000	0.489659
89.700000	0.489661
89.800000	0.489662
89.900000	0.489664
90.000000	0.489665
90.100000	0.489667
90.200000	0.489668
90.300000	0.489670
90.400000	0.489672
90.500000	0.489673
90.600000	0.489675
90.700000	0.489676
90.800000	0.489678
90.900000	0.489679
91.000000	0.489681
91.100000	0.489682
91.200000	0.489684
91.300000	0.489685
91.400000	0.489687
91.500000	0.489688
91.600000	0.489690
91.700000	0.489691
91.800000	0.489693
91.900000	0.489694
92.000000	0.489696
92.100000	0.489697
92.200000	0.489699
92.300000	0.489700
92.400000	0.489702
92.500000	0.489703
92.600000	0.489705
92.700000	0.489706
92.800000	0.489707
92.900000	0.489709
93.000000	0.489710
93.100000	0.489712
93.200000	0.489713
93.300000	0.489715
93.400000	0.489716
93.500000	0.489718
93.600000	0.489719
93.700000	0.489720
93.800000	0.489722
93.900000	0.489723
94.000000	0.489725
94.100000	0.489726
94.200000	0.489728
94.300000	0.489729
94.400000	0.489730
94.500000	0.489732
94.600000	0.489733
94.700000	0.489735
94.800000	0.489736
94.900000	0.489737
95.000000	0.489739
95.100000	0.489740
95.200000	0.489742
95.300000	0.489743
95.400000	0.489744
95.500000	0.489746
95.600000	0.489747
95.700000	0.489748
95.800000	0.489750
95.900000	0.489751
96.000000	0.489753
96.100000	0.489754
96.200000	0.489755
96.300000	0.489757
96.400000	0.489758
96.500000	0.489759
96.600000	0.489761
96.700000	0.489762
96.800000	0.489763
96.900000	0.489765
97.000000	0.489766
97.100000	0.489767
97.200000	0.489769
97.300000	0.489770
97.400000	0.489771
97.500000	0.489773
97.600000	0.489774
97.700000	0.489775
97.800000	0.489777
97.900000	0.489778
98.000000	0.489779
98.100000	0.489781
98.200000	0.489782
98.300000	0.489783
98.400000	0.489785
98.500000	0.489786
98.600000	0.489787
98.700000	0.489788
98.800000	0.489790
98.900000	0.489791
99.000000	0.489792
99.100000	0.489794
99.200000	0.489795
99.300000	0.489796
99.400000	0.489797
99.500000	0.489799
99.600000	0.489800
99.700000	0.489801
99.800000	0.489802
99.900000	0.489804
100.000000	0.489805

R2	R
0.000000	0.350000
0.100000	0.364035
0.200000	0.375000
0.300000	0.383803
0.400000	0.391026
0.500000	0.397059
0.600000	0.402174
0.700000	0.406566
0.800000	0.410377
0.900000	0.413717
1.000000	0.416667
1.100000	0.419291
1.200000	0.421642
1.300000	0.423759
1.400000	0.425676
1.500000	0.427419
1.600000	0.429012
1.700000	0.430473
1.800000	0.431818
1.900000	0.433060
2.000000	0.434211
2.100000	0.435279
2.200000	0.436275
2.300000	0.437204
2.400000	0.438073
2.500000	0.438889
2.600000	0.439655
2.700000	0.440377
2.800000	0.441057
2.900000	0.441700
3.000000	0.442308
3.100000	0.442884
3.200000	0.443431
3.300000	0.443950
3.400000	0.444444
3.500000	0.444915
3.600000	0.445364
3.700000	0.445793
3.800000	0.446203
3.900000	0.446594
4.000000	0.446970
4.100000	0.447329
4.200000	0.447674
4.300000	0.448006
4.400000	0.448324
4.500000	0.448630
4.600000	0.448925
4.700000	0.449208
4.800000	0.449482
4.900000	0.449746
5.000000	0.450000
5.100000	0.450246
5.200000	0.450483
5.300000	0.450713
5.400000	0.450935
5.500000	0.451149
5.600000	0.451357
5.700000	0.451559
5.800000	0.451754
5.900000	0.451944
6.000000	0.452128
6.100000	0.452306
6.200000	0.452479
6.300000	0.452648
6.400000	0.452811
6.500000	0.452970
6.600000	0.453125
6.700000	0.453276
6.800000	0.453422
6.900000	0.453565
